date,sales
2013-02-23,20133
2013-02-24,20132
2013-02-25,20130
2013-02-26,20133
2013-02-27,20131
2013-02-28,20132
2013-03-01,20133
2013-03-02,20130
2013-03-03,20130
2013-03-04,20130
2013-03-05,20133
2013-03-06,20131
2013-03-07,20130
2013-03-08,20130
2013-03-09,20130
2013-03-10,20130
2013-03-11,20133
2013-03-12,20133
2013-03-13,20131
2013-03-14,20131
2013-03-15,20130
2013-03-16,20133
2013-03-17,20132
2013-03-18,20133
2013-03-19,20131
2013-03-20,20132
2013-03-21,20130
2013-03-22,20130
2013-03-23,20133
2013-03-24,20131
2013-03-25,20133
2013-03-26,20131
2013-03-27,20133
2013-03-28,20133
2013-03-29,20132
2013-03-30,20130
2013-03-31,20131
2013-04-01,20132
2013-04-02,20130
2013-04-03,20131
2013-04-04,20130
2013-04-05,20130
2013-04-06,20132
2013-04-07,20133
2013-04-08,20133
2013-04-09,20131
2013-04-10,20132
2013-04-11,20131
2013-04-12,20133
2013-04-13,20131
2013-04-14,20133
2013-04-15,20130
2013-04-16,20130
2013-04-17,20132
2013-04-18,20132
2013-04-19,20132
2013-04-20,20131
2013-04-21,20130
2013-04-22,20131
2013-04-23,20132
2013-04-24,20133
2013-04-25,20132
2013-04-26,20132
2013-04-27,20130
2013-04-28,20133
2013-04-29,20131
2013-04-30,20132
2013-05-01,20131
2013-05-02,20132
2013-05-03,20133
2013-05-04,20131
2013-05-05,20131
2013-05-06,20133
2013-05-07,20131
2013-05-08,20130
2013-05-09,20132
2013-05-10,20133
2013-05-11,20132
2013-05-12,20130
2013-05-13,20130
2013-05-14,20131
2013-05-15,20131
2013-05-16,20131
2013-05-17,20133
2013-05-18,20133
2013-05-19,20132
2013-05-20,20131
2013-05-21,20131
2013-05-22,20132
2013-05-23,20132
2013-05-24,20130
2013-05-25,20133
2013-05-26,20130
2013-05-27,20130
2013-05-28,20130
2013-05-29,20132
2013-05-30,20132
2013-05-31,20131
2013-06-01,20133
2013-06-02,20132
2013-06-03,20130
2013-06-04,20132
2013-06-05,20132
2013-06-06,20132
2013-06-07,20133
2013-06-08,20130
2013-06-09,20131
2013-06-10,20131
2013-06-11,20133
2013-06-12,20130
2013-06-13,20132
2013-06-14,20131
2013-06-15,20132
2013-06-16,20130
2013-06-17,20132
2013-06-18,20130
2013-06-19,20131
2013-06-20,20130
2013-06-21,20131
2013-06-22,20133
2013-06-23,20130
2013-06-24,20131
2013-06-25,20132
2013-06-26,20132
2013-06-27,20133
2013-06-28,20131
2013-06-29,20132
2013-06-30,20132
2013-07-01,20131
2013-07-02,20131
2013-07-03,20133
2013-07-04,20130
2013-07-05,20130
2013-07-06,20133
2013-07-07,20132
2013-07-08,20132
2013-07-09,20131
2013-07-10,20130
2013-07-11,20130
2013-07-12,20130
2013-07-13,20132
2013-07-14,20133
2013-07-15,20131
2013-07-16,20131
2013-07-17,20133
2013-07-18,20130
2013-07-19,20133
2013-07-20,20132
2013-07-21,20130
2013-07-22,20132
2013-07-23,20132
2013-07-24,20133
2013-07-25,20131
2013-07-26,20133
2013-07-27,20133
2013-07-28,20131
2013-07-29,20132
2013-07-30,20133
2013-07-31,20133
2013-08-01,20132
2013-08-02,20130
2013-08-03,20132
2013-08-04,20131
2013-08-05,20132
2013-08-06,20130
2013-08-07,20131
2013-08-08,20131
2013-08-09,20130
2013-08-10,20131
2013-08-11,20131
2013-08-12,20132
2013-08-13,20132
2013-08-14,20131
2013-08-15,20131
2013-08-16,20130
2013-08-17,20131
2013-08-18,20130
2013-08-19,20132
2013-08-20,20133
2013-08-21,20130
2013-08-22,20133
2013-08-23,20130
2013-08-24,20133
2013-08-25,20132
2013-08-26,20130
2013-08-27,20131
2013-08-28,20133
2013-08-29,20132
2013-08-30,20130
2013-08-31,20133
2013-09-01,20130
2013-09-02,20130
2013-09-03,20130
2013-09-04,20131
2013-09-05,20131
2013-09-06,20133
2013-09-07,20131
2013-09-08,20132
2013-09-09,20132
2013-09-10,20131
2013-09-11,20130
2013-09-12,20131
2013-09-13,20132
2013-09-14,20130
2013-09-15,20132
2013-09-16,20130
2013-09-17,20133
2013-09-18,20130
2013-09-19,20131
2013-09-20,20133
2013-09-21,20131
2013-09-22,20131
2013-09-23,20132
2013-09-24,20133
2013-09-25,20131
2013-09-26,20132
2013-09-27,20132
2013-09-28,20130
2013-09-29,20133
2013-09-30,20133
2013-10-01,20130
2013-10-02,20131
2013-10-03,20133
2013-10-04,20130
2013-10-05,20130
2013-10-06,20130
2013-10-07,20132
2013-10-08,20131
2013-10-09,20132
2013-10-10,20132
2013-10-11,20132
2013-10-12,20130
2013-10-13,20131
2013-10-14,20133
2013-10-15,20133
2013-10-16,20133
2013-10-17,20131
2013-10-18,20133
2013-10-19,20131
2013-10-20,20131
2013-10-21,20133
2013-10-22,20131
2013-10-23,20130
2013-10-24,20131
2013-10-25,20132
2013-10-26,20131
2013-10-27,20133
2013-10-28,20131
2013-10-29,20132
2013-10-30,20130
2013-10-31,20130
2013-11-01,20130
2013-11-02,20133
2013-11-03,20133
2013-11-04,20131
2013-11-05,20130
2013-11-06,20133
2013-11-07,20133
2013-11-08,20131
2013-11-09,20131
2013-11-10,20133
2013-11-11,20132
2013-11-12,20133
2013-11-13,20132
2013-11-14,20133
2013-11-15,20130
2013-11-16,20133
2013-11-17,20132
2013-11-18,20131
2013-11-19,20131
2013-11-20,20131
2013-11-21,20132
2013-11-22,20132
2013-11-23,20133
2013-11-24,20133
2013-11-25,20131
2013-11-26,20133
2013-11-27,20130
2013-11-28,20133
2013-11-29,20133
2013-11-30,20133
2013-12-01,20132
2013-12-02,20132
2013-12-03,20131
2013-12-04,20130
2013-12-05,20130
2013-12-06,20133
2013-12-07,20133
2013-12-08,20130
2013-12-09,20132
2013-12-10,20133
2013-12-11,20133
2013-12-12,20133
2013-12-13,20133
2013-12-14,20132
2013-12-15,20133
2013-12-16,20132
2013-12-17,20131
2013-12-18,20130
2013-12-19,20130
2013-12-20,20131
2013-12-21,20130
2013-12-22,20133
2013-12-23,20132
2013-12-24,20131
2013-12-25,20131
2013-12-26,20131
2013-12-27,20132
2013-12-28,20131
2013-12-29,20131
2013-12-30,20132
2013-12-31,20133
2014-01-01,20140
2014-01-02,20140
2014-01-03,20143
2014-01-04,20142
2014-01-05,20142
2014-01-06,20143
2014-01-07,20140
2014-01-08,20142
2014-01-09,20143
2014-01-10,20143
2014-01-11,20142
2014-01-12,20142
2014-01-13,20143
2014-01-14,20141
2014-01-15,20141
2014-01-16,20142
2014-01-17,20142
2014-01-18,20141
2014-01-19,20142
2014-01-20,20141
2014-01-21,20141
2014-01-22,20142
2014-01-23,20141
2014-01-24,20141
2014-01-25,20140
2014-01-26,20141
2014-01-27,20140
2014-01-28,20142
2014-01-29,20141
2014-01-30,20141
2014-01-31,20143
2014-02-01,20142
2014-02-02,20143
2014-02-03,20141
2014-02-04,20141
2014-02-05,20143
2014-02-06,20140
2014-02-07,20140
2014-02-08,20142
2014-02-09,20140
2014-02-10,20142
2014-02-11,20140
2014-02-12,20140
2014-02-13,20143
2014-02-14,20143
2014-02-15,20143
2014-02-16,20141
2014-02-17,20140
2014-02-18,20143
2014-02-19,20142
2014-02-20,20140
2014-02-21,20143
2014-02-22,20143
2014-02-23,20142
2014-02-24,20140
2014-02-25,20141
2014-02-26,20140
2014-02-27,20143
2014-02-28,20141
2014-03-01,20140
2014-03-02,20141
2014-03-03,20142
2014-03-04,20142
2014-03-05,20141
2014-03-06,20141
2014-03-07,20140
2014-03-08,20140
2014-03-09,20141
2014-03-10,20140
2014-03-11,20141
2014-03-12,20140
2014-03-13,20141
2014-03-14,20142
2014-03-15,20141
2014-03-16,20140
2014-03-17,20141
2014-03-18,20142
2014-03-19,20141
2014-03-20,20141
2014-03-21,20143
2014-03-22,20140
2014-03-23,20140
2014-03-24,20143
2014-03-25,20141
2014-03-26,20143
2014-03-27,20141
2014-03-28,20142
2014-03-29,20143
2014-03-30,20143
2014-03-31,20143
2014-04-01,20140
2014-04-02,20140
2014-04-03,20141
2014-04-04,20142
2014-04-05,20140
2014-04-06,20140
2014-04-07,20143
2014-04-08,20140
2014-04-09,20141
2014-04-10,20141
2014-04-11,20143
2014-04-12,20140
2014-04-13,20140
2014-04-14,20141
2014-04-15,20141
2014-04-16,20142
2014-04-17,20141
2014-04-18,20143
2014-04-19,20141
2014-04-20,20140
2014-04-21,20142
2014-04-22,20142
2014-04-23,20140
2014-04-24,20141
2014-04-25,20140
2014-04-26,20143
2014-04-27,20142
2014-04-28,20142
2014-04-29,20140
2014-04-30,20141
2014-05-01,20143
2014-05-02,20142
2014-05-03,20140
2014-05-04,20142
2014-05-05,20142
2014-05-06,20140
2014-05-07,20141
2014-05-08,20142
2014-05-09,20143
2014-05-10,20142
2014-05-11,20143
2014-05-12,20143
2014-05-13,20141
2014-05-14,20143
2014-05-15,20140
2014-05-16,20140
2014-05-17,20143
2014-05-18,20143
2014-05-19,20143
2014-05-20,20142
2014-05-21,20143
2014-05-22,20141
2014-05-23,20140
2014-05-24,20141
2014-05-25,20143
2014-05-26,20142
2014-05-27,20143
2014-05-28,20142
2014-05-29,20143
2014-05-30,20143
2014-05-31,20143
2014-06-01,20142
2014-06-02,20143
2014-06-03,20140
2014-06-04,20142
2014-06-05,20142
2014-06-06,20142
2014-06-07,20143
2014-06-08,20143
2014-06-09,20141
2014-06-10,20141
2014-06-11,20143
2014-06-12,20140
2014-06-13,20141
2014-06-14,20142
2014-06-15,20140
2014-06-16,20143
2014-06-17,20140
2014-06-18,20143
2014-06-19,20143
2014-06-20,20140
2014-06-21,20141
2014-06-22,20142
2014-06-23,20142
2014-06-24,20140
2014-06-25,20141
2014-06-26,20140
2014-06-27,20140
2014-06-28,20142
2014-06-29,20142
2014-06-30,20142
2014-07-01,20140
2014-07-02,20143
2014-07-03,20141
2014-07-04,20140
2014-07-05,20141
2014-07-06,20142
2014-07-07,20140
2014-07-08,20142
2014-07-09,20142
2014-07-10,20141
2014-07-11,20141
2014-07-12,20140
2014-07-13,20142
2014-07-14,20142
2014-07-15,20141
2014-07-16,20141
2014-07-17,20140
2014-07-18,20141
2014-07-19,20142
2014-07-20,20140
2014-07-21,20143
2014-07-22,20140
2014-07-23,20142
2014-07-24,20141
2014-07-25,20143
2014-07-26,20143
2014-07-27,20140
2014-07-28,20143
2014-07-29,20140
2014-07-30,20141
2014-07-31,20141
2014-08-01,20142
2014-08-02,20142
2014-08-03,20140
2014-08-04,20140
2014-08-05,20143
2014-08-06,20142
2014-08-07,20142
2014-08-08,20143
2014-08-09,20142
2014-08-10,20140
2014-08-11,20140
2014-08-12,20142
2014-08-13,20141
2014-08-14,20143
2014-08-15,20143
2014-08-16,20143
2014-08-17,20140
2014-08-18,20141
2014-08-19,20142
2014-08-20,20140
2014-08-21,20143
2014-08-22,20141
2014-08-23,20142
2014-08-24,20141
2014-08-25,20143
2014-08-26,20143
2014-08-27,20143
2014-08-28,20141
2014-08-29,20141
2014-08-30,20143
2014-08-31,20141
2014-09-01,20141
2014-09-02,20141
2014-09-03,20140
2014-09-04,20142
2014-09-05,20141
2014-09-06,20143
2014-09-07,20140
2014-09-08,20143
2014-09-09,20140
2014-09-10,20141
2014-09-11,20140
2014-09-12,20142
2014-09-13,20141
2014-09-14,20142
2014-09-15,20140
2014-09-16,20141
2014-09-17,20140
2014-09-18,20140
2014-09-19,20140
2014-09-20,20140
2014-09-21,20142
2014-09-22,20140
2014-09-23,20143
2014-09-24,20140
2014-09-25,20141
2014-09-26,20142
2014-09-27,20141
2014-09-28,20140
2014-09-29,20142
2014-09-30,20142
2014-10-01,20142
2014-10-02,20142
2014-10-03,20140
2014-10-04,20142
2014-10-05,20140
2014-10-06,20140
2014-10-07,20141
2014-10-08,20141
2014-10-09,20142
2014-10-10,20141
2014-10-11,20143
2014-10-12,20142
2014-10-13,20140
2014-10-14,20140
2014-10-15,20142
2014-10-16,20140
2014-10-17,20141
2014-10-18,20142
2014-10-19,20141
2014-10-20,20140
2014-10-21,20142
2014-10-22,20141
2014-10-23,20141
2014-10-24,20142
2014-10-25,20140
2014-10-26,20140
2014-10-27,20143
2014-10-28,20143
2014-10-29,20141
2014-10-30,20142
2014-10-31,20140
2014-11-01,20143
2014-11-02,20140
